employee_name,user_id_x,email,role,business_unit,functional_unit,department,team,supervisor,user_type,user_id_y,o_score,c_score,e_score,a_score,n_score,join_date,last_active,user_id
Harper Clark Vazquez,HCV0478,Harper.Clark.Vazquez@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,Employee,HCV0478,46,36,18,12,24,2021-01-01,2024-07-08 19:50:38.956628,aaeaa5aa4e0a4fcd1870f779419130fef8f6675cdeab2c958753cbff84719410
Kimberley Joy Anderson,KJA0152,Kimberley.Joy.Anderson@dtaa.com,AdministrativeAssistant,1,4 - Finance,2 - Payroll,nan,Vera Mollie Jenkins,Employee,KJA0152,16,16,39,38,34,2021-01-01,2024-07-08 19:50:38.956628,80874f2a53a607a9b6d3705e441f192b9dbc5dc87e146b3767b4359330c244ec
Erasmus Cameron Franco,ECF0828,Erasmus.Cameron.Franco@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,Employee,ECF0828,40,49,39,40,35,2021-01-01,2024-07-08 19:50:38.956628,12520ed85bff7ca30abb25d50742e5ad95a9c6c28e2bb23cda93f2b5e1f52c96
Buffy Vivien Nichols,BVN0514,Buffy.Vivien.Nichols@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,Employee,BVN0514,36,23,30,23,22,2021-01-01,2024-07-08 19:50:38.956628,c739a784ffe51dd2d88e7ca912f22e9c8a1f6ac232d86b4da6702a813385d2ab
Bruno Stewart Silva,BSS0463,Bruno.Stewart.Silva@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,Employee,BSS0463,32,40,40,38,28,2021-01-01,2024-07-08 19:50:38.956628,7bfab5c05d8b71c203a14d3aea79fcdc2efba4b747886134eb7f9993b7a9cba0
Jonathan John Martinez,JJM0203,Jonathan.John.Martinez@dtaa.com,Engineer,1,6 - PurchasingAndContracts,3 - Contracts,nan,Whoopi Britanney Camacho,Employee,JJM0203,37,36,18,30,28,2021-01-01,2024-07-08 19:50:38.956628,b1860d5b0282e5350b3eea2ff159f2274ba1ca903c213387a6ae139278919592
Adam Ishmael Mcdaniel,AIM0627,Adam.Ishmael.Mcdaniel@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,Employee,AIM0627,36,39,16,41,23,2021-01-01,2024-07-08 19:50:38.956628,646e60677411f0eea3c7cea6fa3deb1e516646accca6bfb3daab29170c473f8f
Rashad August Hatfield,RAH0440,Rashad.August.Hatfield@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,Employee,RAH0440,18,15,43,16,24,2021-01-01,2024-07-08 19:50:38.956628,0f38faa32481237bb4dadf37ff2764750edd9bde41e8738d58c24d34c6f9562c
Xenos Hayden Gallegos,XHG0902,Xenos.Hayden.Gallegos@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,Employee,XHG0902,44,35,23,47,14,2021-01-01,2024-07-08 19:50:38.956628,c0d9142b6d23a1378aa0bbdb21bbfb5c591e8cc2efe77c5bfa941d400949cebf
Tobias Dakota Jacobs,TDJ0998,Tobias.Dakota.Jacobs@dtaa.com,MechanicalEngineer,1,3 - Manufacturing,2 - ManufacturingEngineering,nan,Fritz Dale Ellison,Employee,TDJ0998,34,40,10,42,36,2021-01-01,2024-07-08 19:50:38.956628,c63f57e0951ad624735dabb608cd7fb022ab0a88fd78a7298537b6d7c3049124
John Price Atkins,JPA0667,John.Price.Atkins@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,Employee,JPA0667,49,42,34,35,27,2021-01-01,2024-07-08 19:50:38.956628,bfed5e410fe2c548ada411dd55e027a3d8d91fb71c635faf249d8811462d118b
Elaine Hanna Raymond,EHR0096,Elaine.Hanna.Raymond@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,Employee,EHR0096,22,13,20,48,31,2021-01-01,2024-07-08 19:50:38.956628,d5d5af402c5f70ec70845ae02cd736398df95b75c5e2fa936ffeccbb2674c9c9
Sharon Jemima Whitehead,SJW0451,Sharon.Jemima.Whitehead@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,Employee,SJW0451,43,30,16,50,28,2021-01-01,2024-07-08 19:50:38.956628,b852e9345e0dfb976d42f0dfef60135797e7dba2f6c4c49524925145160dc3fc
Colton Nathan Barber,CNB0900,Colton.Nathan.Barber@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,Employee,CNB0900,34,43,38,16,27,2021-01-01,2024-07-08 19:50:38.956628,038f9b809ec584e4c68a5c9771cf5f099a9e69b960ad4aacb66eb0ddedfe1f73
Ethan Arden Hays,EAH0466,Ethan.Arden.Hays@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,Employee,EAH0466,41,38,29,38,25,2021-01-01,2024-07-08 19:50:38.956628,31f897a2bcda45b2ce470bf1a1448dc81d3ac1f8a60d02db1ec0fa9656ef1b7e
Curran Tarik Ayala,CTA0020,Curran.Tarik.Ayala@dtaa.com,HumanResourceSpecialist,1,1 - Adminstration,1 - Personnel,nan,Bethany Xerxes Johnson,Employee,CTA0020,36,50,11,22,34,2021-01-01,2024-07-08 19:50:38.956628,b7cbf93da8aa191d972936946218f5c705a8e52bbb564de0a3d39e1140a3ed72
Sandra Roary Solomon,SRS0231,Sandra.Roary.Solomon@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,Employee,SRS0231,17,44,36,32,26,2021-01-01,2024-07-08 19:50:38.956628,4978bd44639f9305a35b3571c4c4845aec495dcdf7fa73c62249d573531d7ce6
Hadley Willa Hill,HWH0646,Hadley.Willa.Hill@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,Employee,HWH0646,17,24,24,21,28,2021-01-01,2024-07-08 19:50:38.956628,880f2257f30271cdfb8562af896e18797ac485a08183e156897616e408d4460f
Halee Kim Burnett,HKB0418,Halee.Kim.Burnett@dtaa.com,SystemsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker,Employee,HKB0418,50,18,13,26,27,2021-01-01,2024-07-08 19:50:38.956628,fd75d90aa009570867eacd4eb373c0e7d7581285777e7287b31ab6c6c7627c4c
Chanda Celeste Mosley,CCM0855,Chanda.Celeste.Mosley@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,Employee,CCM0855,31,24,19,36,29,2021-01-01,2024-07-08 19:50:38.956628,6fa6658bddafcf180a7d39068e651ccd6ec28b3def4ce11fcd481e80e1ff17d6
Shelley Eleanor Dawson,SED0886,Shelley.Eleanor.Dawson@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,Employee,SED0886,22,18,18,35,28,2021-01-01,2024-07-08 19:50:38.956628,e10daf1b542a6c91c50f00a2972e0c095e5d1d566af0e97603cc45d73c782b25
Logan Branden Cherry,LBC0356,Logan.Branden.Cherry@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,Employee,LBC0356,40,30,40,21,41,2021-01-01,2024-07-08 19:50:38.956628,227d5dfae5d7173aa06a7c9533fccb874c36e8c8324259a34870f49b841ec373
Chloe Keiko Holland,CKH0144,Chloe.Keiko.Holland@dtaa.com,Engineer,1,3 - Manufacturing,4 - QualityControl,nan,Kimberley Kiona Sosa,Employee,CKH0144,34,22,22,35,30,2021-01-01,2024-07-08 19:50:38.956628,e736fd5b2d84f38fc995eaf291746bad51696ba76d263a0bb49ed0aa8fa0ae0a
Melvin Brody Garza,MBG0438,Melvin.Brody.Garza@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,Employee,MBG0438,38,17,37,16,29,2021-01-01,2024-07-08 19:50:38.956628,74b8c59536b2643cdcf4824453f05f8314521474a0a382d6a8a86b3c28ebf46d
Mohammad Vladimir Farrell,MVF0594,Mohammad.Vladimir.Farrell@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,Employee,MVF0594,35,38,33,44,36,2021-01-01,2024-07-08 19:50:38.956628,e1ddfab2cb33c2f6534d63b7a52c25037fd14c3ec61e7746dc8af4200b5f8958
Alea Tana Ferrell,ATF0274,Alea.Tana.Ferrell@dtaa.com,HardwareEngineer,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,Employee,ATF0274,20,45,48,27,28,2021-01-01,2024-07-08 19:50:38.956628,2af81ad105a7dc343acd748cd75b6beb5fec05b225ae69dabdc662e087899395
Kendall Thaddeus Glover,KTG0091,Kendall.Thaddeus.Glover@dtaa.com,MaterialsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,3 - MaterialsEngineering,Ainsley MacKensie Doyle,Employee,KTG0091,46,41,16,15,29,2021-01-01,2024-07-08 19:50:38.956628,0b2a3e0a23d67f2c9ca13479f0db39e8981e4983d2ae2002b23d9d4e10d21abf
Alfonso Colin Cooley,ACC0042,Alfonso.Colin.Cooley@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,Employee,ACC0042,23,19,37,20,31,2021-01-01,2024-07-08 19:50:38.956628,2c8f01eb4d5b9485f6fe5258404e9ef791dbbfc1808262de95e8f60cc8ed0f5d
Arsenio Kato Wilder,AKW0167,Arsenio.Kato.Wilder@dtaa.com,AdministrativeAssistant,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,Employee,AKW0167,38,38,20,14,35,2021-01-01,2024-07-08 19:50:38.956628,6a753306e7c1859cd3d39a05f922080a68a13ce212b32a2f38ff0f49efca01ee
Kirk Palmer Rosales,KPR0497,Kirk.Palmer.Rosales@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,Employee,KPR0497,50,43,43,20,29,2021-01-01,2024-07-08 19:50:38.956628,1797955de9c757471f3d2f606e1e4ff8f49ee28cbffb8c052a70fad2b16ae3dd
Amaya Britanni Newton,ABN0239,Amaya.Britanni.Newton@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston,Employee,ABN0239,21,37,20,39,25,2021-01-01,2024-07-08 19:50:38.956628,449491b502a58491aef53648f6bb07c9391beb34122dd8c26c63cf448e428455
Colton Kaseem Bolton,CKB0482,Colton.Kaseem.Bolton@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,Employee,CKB0482,36,48,37,46,25,2021-01-01,2024-07-08 19:50:38.956628,650d50123de3fc7e550980ce6b38c396da949a0eaa7bb02ff98190b053582bd2
Alfreda Morgan Holloway,AMH0464,Alfreda.Morgan.Holloway@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,Employee,AMH0464,45,16,42,37,21,2021-01-01,2024-07-08 19:50:38.956628,1854f2b95cc0459634ebd612482b0f4381a358bfcbbdbfb4afc916ad4fd7decc
Quinn Coby Hays,QCH0110,Quinn.Coby.Hays@dtaa.com,Technician,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,Employee,QCH0110,34,35,17,37,27,2021-01-01,2024-07-08 19:50:38.956628,e85b155e0492438b3600531cac68bb33502360891ccf73a0414c0719cf83bd7f
Sara Gail George,SGG0787,Sara.Gail.George@dtaa.com,Manager,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Todd Vance Spears,Employee,SGG0787,14,27,10,20,31,2021-01-01,2024-07-08 19:50:38.956628,cf6c02a1383392f672a44d4686deb09cce27fbc5285b1f9d05f6028f755846cd
Sarah Imelda Juarez,SIJ0661,Sarah.Imelda.Juarez@dtaa.com,LabManager,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Summer Leilani Boyer,Employee,SIJ0661,40,17,14,15,21,2021-01-01,2024-07-08 19:50:38.956628,2d9fc0a7d9dd7bf9c02e147bd391c8b69374b1ada4a7dddf8aadf229bd446d54
Byron Tyrone Williamson,BTW0005,Byron.Tyrone.Williamson@dtaa.com,VicePresident,1,3 - Manufacturing,nan,nan,Mona Susan Shannon,Employee,BTW0005,33,39,18,18,27,2021-01-01,2024-07-08 19:50:38.956628,521fe8eb60281efa9e15f554098fb7787b2c06db1ff5a74f08c3f0e52b409e67
Risa Laura Bolton,RLB0719,Risa.Laura.Bolton@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,Employee,RLB0719,14,18,15,40,35,2021-01-01,2024-07-08 19:50:38.956628,6d88900eacb4bc8d8a316fc59b8305d6e119612f3b4216a91bdb4e756a2bf83f
William Damian Oconnor,WDO0870,William.Damian.Oconnor@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,Employee,WDO0870,23,21,14,13,25,2021-01-01,2024-07-08 19:50:38.956628,a21bed4c4a9406afa2b369e2e3a9da72f14da64abf09fc54a740ecd5279f941d
Kaden Chastity Briggs,KCB0815,Kaden.Chastity.Briggs@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,Employee,KCB0815,16,40,18,36,31,2021-01-01,2024-07-08 19:50:38.956628,5291644fe9a8e6ad89b83ec938f2e38f2c0aa2c9e8799a4848c179a7dc39f0f2
Vincent Calvin Young,VCY0751,Vincent.Calvin.Young@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,Employee,VCY0751,37,24,39,19,25,2021-01-01,2024-07-08 19:50:38.956628,3dde3315872d25bf9737721e690542a7ab36db5d6b1649a48a31ec0a5b7ecf3d
Brock Aladdin Joyce,BAJ0654,Brock.Aladdin.Joyce@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,Employee,BAJ0654,36,10,47,10,41,2021-01-01,2024-07-08 19:50:38.956628,37d2a6bf710ae2c4492f828c5f9063f41bebf73c385b0ae2dcb88e20da5a53fc
Madonna Kristen Love,MKL0941,Madonna.Kristen.Love@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,Employee,MKL0941,16,26,20,38,30,2021-01-01,2024-07-08 19:50:38.956628,c372e4f3ac8b1144d32b42832804b4879de2fb08b60c1712ab96add7989de69d
Elijah Gary Diaz,EGD0409,Elijah.Gary.Diaz@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker,Employee,EGD0409,39,40,22,35,33,2021-01-01,2024-07-08 19:50:38.956628,65634eb341a3f55897fc8f9c25a2bda6187eb6148b6ce8177d166a54c5a96043
Dale Benjamin Sharpe,DBS0235,Dale.Benjamin.Sharpe@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,Employee,DBS0235,30,38,18,37,33,2021-01-01,2024-07-08 19:50:38.956628,52224eb0b9de5e890ad4c99e27b6c049f3a757d37cf845d6e2f40ec77310cc55
Jael Jennifer Hansen,JJH0613,Jael.Jennifer.Hansen@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,Employee,JJH0613,50,30,24,14,26,2021-01-01,2024-07-08 19:50:38.956628,a8f4a8c4477697e2b96eb0a80f20b3f47e91f706cedb9a3c932af537c56775aa
Ulric Ferdinand Knapp,UFK0208,Ulric.Ferdinand.Knapp@dtaa.com,SecurityGuard,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,Employee,UFK0208,18,34,22,23,30,2021-01-01,2024-07-08 19:50:38.956628,226ba2ad9a2d8a398d05f1229b43217a8b44912794ce46925deb26c1b709fa56
Brent Laith Beck,BLB0114,Brent.Laith.Beck@dtaa.com,MechanicalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,Employee,BLB0114,38,48,41,15,22,2021-01-01,2024-07-08 19:50:38.956628,12fb62f3f54a60855ccc0494fa53603025c4100cac6b960d36beadb06c2d3c13
Cheyenne Kay Dickerson,CKD0680,Cheyenne.Kay.Dickerson@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,Employee,CKD0680,18,50,24,18,28,2021-01-01,2024-07-08 19:50:38.956628,e09289d3c0fed48609234841b4071d12275c8978b16238c7a6bc165f2a2faf6a
Myra Kay Greer,MKG0711,Myra.Kay.Greer@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,Employee,MKG0711,17,26,43,32,38,2021-01-01,2024-07-08 19:50:38.956628,698bf5c2e7f8a98bd0afb3e732dfb63db1397288a6082289bb6c118a3f5badb0
Edward Dean Anthony,EDA0684,Edward.Dean.Anthony@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne,Employee,EDA0684,38,42,40,39,33,2021-01-01,2024-07-08 19:50:38.956628,e31c2d1acc80ce6dc400be16be280a87df19e50c1b1765c06b490a78605aca45
Illana Isabelle Lamb,IIL0513,Illana.Isabelle.Lamb@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,Employee,IIL0513,37,13,26,38,34,2021-01-01,2024-07-08 19:50:38.956628,a8fc6e6c2aecae24ea3dc8a363cc08e170159ed27e732ccff74ef6ab045247df
TaShya Savannah Mcgowan,TSM0363,TaShya.Savannah.Mcgowan@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,Employee,TSM0363,34,19,20,39,33,2021-01-01,2024-07-08 19:50:38.956628,bcdae9657c4bd2117e4bced4d775e8f817c5289b009464b0d06f03a50c5f7ee8
Price Bevis Pittman,PBP0002,Price.Bevis.Pittman@dtaa.com,AdministrativeAssistant,1,,nan,nan,Mona Susan Shannon,Employee,PBP0002,49,35,23,10,27,2021-01-01,2024-07-08 19:50:38.956628,3115764dbff9e085d7afa02b6f9a244bfe5e3aef3fcf5cf7e060d7aabca17226
Louis Hyatt Bruce,LHB0606,Louis.Hyatt.Bruce@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,Employee,LHB0606,37,38,15,27,27,2021-01-01,2024-07-08 19:50:38.956628,5097a93de5346cf4ccf0933f3509df2ae422043f23288d5a9101bc798fea356d
Guy Tad Daniel,GTD0898,Guy.Tad.Daniel@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,Employee,GTD0898,23,23,39,15,29,2021-01-01,2024-07-08 19:50:38.956628,e33380370a9647fddce8b88d5604edc79155888592cc49c7b11f229bafabe734
Calvin Jarrod Hood,CJH0702,Calvin.Jarrod.Hood@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,Employee,CJH0702,46,24,30,25,37,2021-01-01,2024-07-08 19:50:38.956628,6bad7d7a45b76bfa487369b4129ffa21041069ac132c559ad7282c35ee22fb34
Desirae Mari Koch,DMK0257,Desirae.Mari.Koch@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,Employee,DMK0257,33,20,26,26,30,2021-01-01,2024-07-08 19:50:38.956628,8382272f2ce2aed5735c03fcc3dd9eae7aebca59296980d437d0928aeeb5feb1
Willow Iliana Quinn,WIQ0567,Willow.Iliana.Quinn@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,Employee,WIQ0567,25,41,10,47,39,2021-01-01,2024-07-08 19:50:38.956628,d673fb3ccb2d58103d7c2c4c8b46e86ba41a61bb80b6eafebd50f8ce286300dd
Peter Tad Hartman,PTH0830,Peter.Tad.Hartman@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,Employee,PTH0830,43,44,42,43,34,2021-01-01,2024-07-08 19:50:38.956628,b6eb958869ed52eb4ebd07b1a48c29f388346f109f8f150ef0331eef5ef15560
Nicholas Cade Owen,NCO0666,Nicholas.Cade.Owen@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,Employee,NCO0666,40,45,10,12,31,2021-01-01,2024-07-08 19:50:38.956628,ce61095978f590119014f9390ab7b48d89b2b530366cfc384e271c8114a899d5
Maxwell Hammett Green,MHG0733,Maxwell.Hammett.Green@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,Employee,MHG0733,43,30,24,42,29,2021-01-01,2024-07-08 19:50:38.956628,59eb7ae7912b490d54408a1715503df7acbee35bd1acdf1a46ad8dd2408b7460
Robert Ali Webb,RAW0915,Robert.Ali.Webb@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,Employee,RAW0915,43,50,21,43,24,2021-01-01,2024-07-08 19:50:38.956628,d46d814e736fd37c65b0d04237f06383603c5a6aef1bff7db236adb1fb32ae82
Hillary Ainsley Mccormick,HAM0985,Hillary.Ainsley.Mccormick@dtaa.com,TechnicalTrainer,1,1 - Adminstration,3 - Training,nan,Walter Kaseem Foley,Employee,HAM0985,20,17,29,16,20,2021-01-01,2024-07-08 19:50:38.956628,54e0448f3e8711c596d5536625c62c1e1f1051ede43c5a821d5596bc70f64119
Serina Ariana Butler,SAB0781,Serina.Ariana.Butler@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,Employee,SAB0781,36,35,24,30,28,2021-01-01,2024-07-08 19:50:38.956628,43b9ea86b182be664ff23d41106148dd8a9cdda59279c7f887be050ae79c4b5f
Ira Benjamin Mays,IBM0671,Ira.Benjamin.Mays@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,Employee,IBM0671,50,46,38,35,31,2021-01-01,2024-07-08 19:50:38.956628,ba9458689e8be1c204bf839bf95c832808b98c0a15bec999d389e163a0fca7aa
Yasir Dexter Nelson,YDN0198,Yasir.Dexter.Nelson@dtaa.com,AdministrativeAssistant,1,6 - PurchasingAndContracts,2 - Pricing,nan,Eugenia Whilemina Harrington,Employee,YDN0198,45,50,41,11,24,2021-01-01,2024-07-08 19:50:38.956628,c95e55c25859111a8654105c7228dbf6db4f6d2f68f883b9b040128d2773f22e
Grace Alma Fry,GAF0060,Grace.Alma.Fry@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,Employee,GAF0060,41,16,39,25,22,2021-01-01,2024-07-08 19:50:38.956628,0accec0e681a2061b0e4076209667936c63a6fbc2b14184cfa5e0d70c776d0b0
Alec Mannix Mcneil,AMM0014,Alec.Mannix.Mcneil@dtaa.com,Director,1,1 - Adminstration,5 - Medical,nan,Halla Cathleen Simmons,Employee,AMM0014,48,38,15,44,36,2021-01-01,2024-07-08 19:50:38.956628,5001bb228f0b0217e169995d7cc3432476e59d6685f737eeb70cbe27209add48
Aquila Mark Vega,AMV0036,Aquila.Mark.Vega@dtaa.com,SecurityGuard,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,Employee,AMV0036,43,36,42,37,26,2021-01-01,2024-07-08 19:50:38.956628,4cfa2ecccd26b7cc3819ea3ede6ba29cf93292c9092746dc974b2d55eace64e5
Merritt Oliver Phelps,MOP0763,Merritt.Oliver.Phelps@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,Employee,MOP0763,43,41,22,20,33,2021-01-01,2024-07-08 19:50:38.956628,2c322d491f6994b8a87057c54957d6c70cc9da9a1af5c3e717aef79d01138e32
Callum Brendan Gonzalez,CBG0490,Callum.Brendan.Gonzalez@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,Employee,CBG0490,50,31,35,10,29,2021-01-01,2024-07-08 19:50:38.956628,41bb06696b4b71fc1e798c3b1dcc0f5d71eb3d970893a40e9e401d775102edd1
Cameron Noel Elliott,CNE0352,Cameron.Noel.Elliott@dtaa.com,ChiefEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Declan Lester Moss,Employee,CNE0352,39,22,44,15,30,2021-01-01,2024-07-08 19:50:38.956628,8d7264843137f72194c64c876edf509247438e1f5fd903479e66f20e661a8ed3
Gil Quincy Potter,GQP0743,Gil.Quincy.Potter@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,Employee,GQP0743,47,39,19,39,25,2021-01-01,2024-07-08 19:50:38.956628,ec8791c30ec27e07aa637feaeafc00455c42729115356a5d597ed0bf4b1dc01d
Philip Travis Hartman,PTH0552,Philip.Travis.Hartman@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall,Employee,PTH0552,20,13,32,20,28,2021-01-01,2024-07-08 19:50:38.956628,322f440d4370a173777fbd8179eadbcf18775351c904ae9894a3990514abf767
Garrison Levi Rollins,GLR0975,Garrison.Levi.Rollins@dtaa.com,HumanResourceSpecialist,1,1 - Adminstration,1 - Personnel,nan,Bethany Xerxes Johnson,Employee,GLR0975,33,44,26,24,24,2021-01-01,2024-07-08 19:50:38.956628,98efaa9e44ad455f9349bc2e45c3e9ad1966f76daf56110a5ac5f66f77abc514
Gareth Thomas Dickson,GTD0219,Gareth.Thomas.Dickson@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,Employee,GTD0219,40,40,19,30,33,2021-01-01,2024-07-08 19:50:38.956628,dbd7131757c2716204e5f4937402fbae93bf49812a3d3df0d5c7a9ecb2eb1017
Blossom Keiko Weiss,BKW0374,Blossom.Keiko.Weiss@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,Employee,BKW0374,41,38,17,46,27,2021-01-01,2024-07-08 19:50:38.956628,cfc7a98ad78e96e60598352e92c597aab7c67b7a279a601b9a8cc1b26390724b
Constance Audrey Hicks,CAH0936,Constance.Audrey.Hicks@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,Employee,CAH0936,40,22,39,50,24,2021-01-01,2024-07-08 19:50:38.956628,19af571f6f20bc3c8e1fa5bfdffaabad43d886b3ff78c1f2444ecbd8f2590478
